Title,Author,ISBN,My Rating,Date Read,Exclusive Shelf
Przedświt,Chelsea Quinn Yarbro,8385060065,,,"Chcę przeczytać, TBR"
Lód,Anna Kavan,9788368191615,,,"Chcę przeczytać, TBR"
Czas przemian,Robert Silverberg,8385202609,,,"Chcę przeczytać, Buylist, TBR"
Wampirze cesarstwo,Jay Kristoff,9788367793384,,,"Teraz czytam, Posiadam"
Front burzowy,Jim Butcher,9788374802253,7,2026-06-02,"Przeczytane, Audiobook"
Podniebna krucjata,Poul Anderson,9788383384238,6,2026-05-30,"Przeczytane, Posiadam"
Wyjście z cienia,Janusz A. Zajdel,9788370541934,7,2026-05-30,"Przeczytane, Z biblioteki"
Blade Runner,Philip K. Dick,8374692316,,,"Chcę przeczytać, Posiadam"
Po piśmie,Jacek Dukaj,9788308069998,8,2026-05-29,"Przeczytane, Audiobook"
Mieć i nie mieć,Ernest Hemingway,9788368753240,8,2026-05-28,"Przeczytane, Posiadam"
Słuchaj pieśni wiatru. Flipper roku 1973,Haruki Murakami,9788328733329,,,"Chcę przeczytać, Posiadam"
Bezbarwny Tsukuru Tazaki i lata jego pielgrzymstwa,Haruki Murakami,9788328733268,,,"Chcę przeczytać, Posiadam"
Gaijin,Arkady Saulski,,5,2026-05-28,"Przeczytane, Audiobook"
Opowieści niesamowite z języka japońskiego,Kenzaburō Ōe,9788381969796,,,"Chcę przeczytać, Posiadam"
Wojna starego człowieka,John Scalzi,9788374181792,7,2024,"Przeczytane, Z biblioteki"
Oko potwora,Jacek Dukaj,9788308089019,,,"Teraz czytam, Z biblioteki"
Dławiący horror. Zbiór opowiadań grozy,Robert E. Howard,9788383358253,,,"Chcę przeczytać, Posiadam"
Judasz wyzwolony: Pościg,Peter F. Hamilton,9788375064346,8,2026-05-25,"Przeczytane, Posiadam"
Butcher’s Crossing,John Williams,9788368180794,,,"Chcę przeczytać, Posiadam"
Wbrew wskazówkom zegara,Philip K. Dick,9788378184768,,,"Teraz czytam, Z biblioteki"
